City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
80,Tuatapere,NZ,59.83,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
81,Rokupr,SL,68.4,8.6717,-12.395,
83,Fenyi,CN,48.6,27.8112,114.6681,Jinhao Hotel
85,Christchurch,NZ,56.91,-43.5333,172.6333,The George
87,Isawa,JP,43.79,35.65,138.6333,旅館 深雪温泉
89,Shintomi,JP,49.32,32.0785,131.4723,ホテルスイート
90,Bereda,ES,46.42,43.2686,-7.5406,Pazo de Verdes
92,Waipawa,NZ,56.03,-41.4122,175.5153,Tora Coastal Walk
95,Skelleftea,SE,32.36,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
98,Dodoma,TZ,63.23,-6.1722,35.7395,Royal Village Hotel
102,Laguna,US,54.1,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
103,Bredasdorp,ZA,69.12,-34.5322,20.0403,Bredasdorp Country Manor
105,Beyneu,KZ,37.51,45.3167,55.2,NUR
106,Saint-Francois,FR,35.04,46.4154,3.9054,Manoir Du Bonheur
110,Saldanha,ZA,60.85,-33.0117,17.9442,Blue Bay Lodge
111,Hasaki,JP,44.89,35.7333,140.8333,Hotel Sunrise Choshi
119,Praia Da Vitoria,PT,57.76,38.7333,-27.0667,Hotel Branco I
120,Sitka,US,42.69,57.0531,-135.33,Westmark Sitka
121,Airai,TL,68.45,-8.9266,125.4092,
123,Cooma,AU,66.69,-36.2333,149.1333,High Country Motel
127,San Quintin,MX,55.74,30.4833,-115.95,Don Eddie's Landing
132,Smithers,CA,39.52,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
135,Gat,IL,52.48,31.61,34.7642,OlusHome
143,Erzin,TR,41.52,36.9559,36.2,Artemis Otel
144,Wanaka,NZ,55.94,-44.7,169.15,Wanaka Homestead Lodge and Cottages
147,Atar,MR,66.83,20.5169,-13.0499,Oumou Elghoura
149,Dossor,KZ,32.41,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
151,Patacamaya,BO,46.49,-17.2333,-67.9167,RESIDENCIAL ISLA VIGU
153,Moca,DO,57.31,19.5,-70.5,La Aldea
154,Calvia,ES,52.09,39.5657,2.5062,Castell Son Claret
155,Codrington,AU,69.3,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
156,San Patricio,US,39.83,28.017,-97.5169,"Motel 6 Sinton, TX"
159,Gillingham,GB,38.71,51.3891,0.5486,King Charles Hotel in Kent
161,La Rioja,ES,37.18,42.25,-2.5,Casa Concejos
164,Kikwit,CD,67.57,-5.041,18.8162,HOTEL PLACE YALABA
174,Lebu,CL,56.95,-37.6167,-73.65,Hostal Las Lilas
176,Saint George,US,42.35,37.1041,-113.5841,Best Western Plus Abbey Inn
177,Cortes,ES,49.03,41.9395,-1.4396,Rincon de bu
178,Taoudenni,ML,61.74,22.6783,-3.9836,
179,Yatou,CN,32.31,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
181,Ribeira Grande,PT,58.86,38.5167,-28.7,Quinta da Meia Eira
183,Lata,PT,42.06,40.1629,-8.3327,Casa Maquia
185,Coahuayana,MX,66.67,18.7333,-103.6833,El rranchito michuacan de ocampos
187,Hualmay,PE,69.51,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
189,Cabo San Lucas,MX,62.94,22.8909,-109.9124,Hotel Tesoro Los Cabos
199,Kemalpasa,TR,30.09,38.4262,27.4173,Kemalpaşa Öğretmen Evi
200,Iquique,CL,62.64,-20.2208,-70.1431,Backpacker`s Hostel Iquique
202,Abnub,EG,47.03,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
203,Mangit,UZ,42.08,40.5971,70.9607,Dangara Hotel
207,Bilma,NE,53.04,18.6853,12.9164,Expeditions Ténére voyages
211,Ponta Do Sol,PT,65.71,32.6667,-17.1,Hotel do Campo
212,San Cristobal,VE,69.98,7.7669,-72.225,Posada Villaven C.A.
216,Roquebrune-Cap-Martin,FR,52.54,43.7641,7.4821,Le Méridien Beach Plaza
224,La Roche-Sur-Yon,FR,38.64,46.6667,-1.4333,"The Originals City, Hôtel Napoléon, La Roche-sur-Yon (Inter-Hotel)"
226,Portland,US,49.6,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
227,Torbay,CA,32.76,47.6666,-52.7314,Gallows Cove
233,Pisco,PE,67.01,-13.7,-76.2167,Hotel San Isidro Oficial
234,Xihe,CN,47.46,31.6864,113.4659,Xintiandi Business Hotel
238,Luena,AO,62.13,-11.7833,19.9167,Hotel Kandamba
239,Kondoa,TZ,61.27,-4.9,35.7833,Bab Al Shams Inland Lodge
240,Jabinyanah,TN,46.2,35.035,10.9081,maison belmabrouk
242,Mangalia,RO,34.09,43.8,28.5833,Hotel Paradiso
245,Bunia,CD,67.57,1.5667,30.25,Gold Star International Hotel
248,Teguise,ES,61.02,29.0605,-13.564,B&B La Casona de Nazaret
252,Coleraine,GB,42.84,55.1333,-6.6667,The Lodge Hotel
254,Kaitangata,NZ,55.98,-46.2817,169.8464,Kaitangata Motor Camp
255,Raudeberg,NO,37.87,61.9875,5.1352,Nordre Silda.
258,Lagoa,PT,57.56,39.05,-27.9833,Casa Das Faias
264,North Bend,US,48.16,43.4065,-124.2243,Red Lion Hotel Coos Bay
266,Hun,LY,48.15,29.1268,15.9477,Alrwasi Hotel
270,Nizwa,OM,69.87,22.9333,57.5333,Orient Apartments
271,Kabinda,CD,63.66,-6.1333,24.4833,Village Mianda Mutole
272,Suez,EG,50.74,29.9737,32.5263,Green House
274,Katsuura,JP,46.51,35.1333,140.3,Katsuura Hotel Mikazuki
275,Aberdeen,GB,39.49,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
279,Guerrero Negro,MX,59.18,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
287,Bully-Les-Mines,FR,37.15,50.4438,2.727,La Maison Rouge Qualys Hotel
288,Nishihara,JP,62.65,26.1842,127.7558,Minshuku Agaihama
289,Severo-Kurilsk,RU,30.51,50.6789,156.125,Kak Doma
292,Nelson,NZ,60.3,-41.2833,173.2833,Rutherford Hotel Nelson
295,Muroto,JP,46.44,33.2833,134.15,Oota Ryokan
298,Ferreira Do Alentejo,PT,42.39,38.05,-8.0333,Herdade da Serra
